year,experience,employment_type,job_title,salary,remote_ratio
2021,EN,FT,Data Analyst,6072,0
2021,SE,FT,Data Engineer,33511,0
2022e,SE,FT,Principal Data Analyst,170000,100
2022e,SE,FT,Data Engineer,96833,50
2022e,MI,FT,Data Engineer,13105,0
2022e,EN,FT,Data Scientist,36952,50
2022e,MI,FT,Data Engineer,72625,50
2021,EN,FT,Data Analyst,91000,100
2022e,SE,FT,Big Data Architect,99956,50
2022e,SE,FT,Data Scientist,165000,
2022e,MI,FT,Data Analyst,80000,100
2022e,SE,FT,Data Scientist,103954,100
2022e,EN,FT,Data Engineer,21695,50
2021,EN,FT,Research Scientist,42000,50
2021,MI,FT,Lead Data Scientist,115000,0
2022e,MI,FT,Research Scientist,63971,100
2021,SE,FT,Machine Learning Scientist,260000,0
2022e,MI,FT,Head of Data Science,110000,0
2022e,MI,FT,Data Architect,180000,100
2022e,SE,FT,Data Analyst,200000,100
2021,SE,FT,Big Data Engineer,109024,50
2022e,SE,FT,Director of Data Engineering,200000,100
2022e,SE,FT,ML Engineer,256000,100
2022e,MI,FT,Data Engineer,110000,100
2021,MI,FT,Data Scientist,79833,0
2022e,EN,FT,Data Engineer,72500,100
2022e,SE,FT,Machine Learning Engineer,185000,50
2022e,MI,PT,Data Engineer,70329,100
2022e,EN,FT,Research Scientist,100000,0
2022e,MI,FT,Data Engineer,112000,100
2021,SE,FT,Machine Learning Engineer,150000,50
2022e,SE,FT,Data Scientist,21843,50
2022e,SE,FT,AI Scientist,55000,100
2022e,EN,FT,Data Scientist,58000,50
2022e,EN,FT,Data Scientist,100000,100
2022e,SE,FT,Data Scientist,78340,50
2022e,EN,FT,Machine Learning Engineer,85000,100
2022e,EN,FT,Data Science Consultant,77481,0
2022e,SE,CT,Staff Data Scientist,105000,100
2021,EN,FT,Data Analyst,72000,100
2022e,EN,FT,Data Engineer,65561,50
2022e,MI,FT,Data Engineer,30337,100
2022e,MI,FT,Data Engineer,111775,0
2022e,MI,FT,Data Engineer,93150,0
2022e,SE,FT,Lead Data Engineer,160000,
2022e,MI,FT,Data Scientist,25747,100
2022e,SE,FT,Machine Learning Engineer,66442,0
2022e,MI,FT,Data Scientist,16949,100
2022e,SE,FT,Data Analyst,64369,50
2021,SE,FT,Lead Data Scientist,190000,100
2022e,EX,FT,Director of Data Science,143043,0
2022e,EN,FT,Big Data Engineer,16271,100
2022e,SE,FT,Data Analyst,71968,100
2021,MI,FT,Data Scientist,35735,50
2022e,SE,FT,Data Scientist,135000,0
2022e,EN,FT,Machine Learning Engineer,25032,50
2022e,SE,FT,Data Science Manager,54238,50
2022e,SE,FT,Machine Learning Engineer,24407,100
2022e,EN,FT,BI Data Analyst,9272,100
2022e,MI,FT,Data Scientist,147000,50
2022e,SE,FT,Research Scientist,96357,50
2022e,SE,FT,Data Science Manager,174000,100
2021,MI,FT,Business Data Analyst,135000,100
2022e,EN,FT,Machine Learning Engineer,21844,50
2021,SE,FT,Lead Data Engineer,125000,
2021,EN,FT,Data Scientist,51321,0
2022e,MI,CT,ML Engineer,270000,100
